城市,岗位名称,薪资,公司名,学历要求,工作经验,技能关键词
北京,数据分析师-校招 / 实习转正（J14768）,10-15K·13薪,慧策旺店通-掌上先机,本科,在校/应届,在校/应届 / 本科
北京,【留用实习】数据分析师,250-400元/天,快手,本科,,5天/周 / 3个月 / 本科
北京,SPSS数据分析师,3000-15000元/月,渭洋溪数据科技公司,硕士,经验不限,经济/工商管理相关专业 / 金融行业数据相关经验 / 数据分析/挖掘经验 / 数学/统计相关专业
北京,数据分析师,20-35K·16薪,途家网,本科,5-10年,SQL / 数学/统计相关专业
北京,数据分析师,15-25K·14薪,BOSS直聘,本科,在校/应届,经济/工商管理相关专业 / 计算机相关专业 / 数学/统计相关专业
北京,数据分析师,6-8K,华企盾,大专,1-3年,数据分析/挖掘经验 / 计算机相关专业 / Python / 数学/统计相关专业
北京,【2026届春招】数据分析师,10-15K·14薪,搜狐畅游,本科,在校/应届,在校/应届 / 本科
北京,数据分析师,15-20K·13薪,众城鸿运,本科,在校/应届,R / 计算机相关专业 / 电商/零售行业数据相关经验 / Python / 数学/统计相关专业
北京,数据分析师/校招,15-25K·15薪,广推科技,本科,在校/应届,在校/应届 / 本科
北京,数据分析师,30-60K·20薪,京东集团,本科,经验不限,经验不限 / 本科
上海,Python(26届小白可投双休六险一金),15-30K,深圳某大型ICT基础设施与智能终端公司,本科,1-3年,Python / Java / PHP / Django / Tornado / MySQL / Redis / 架构设计经验 / 爬虫经验 / 运维开发经验 / 团队管理经验
上海,Python实习生,150-200元/天,彗零信息,大专,,网络爬虫 / AIGC
上海,python实习生,150-200元/天,恺望智数,本科,,Python / Docker / MongoDB
上海,Python/AI实习生,200-250元/天,华为,本科,,4天/周 / 3个月 / 本科
上海,Python实习生,200-300元/天,乐言科技,本科,,3天/周 / 3个月 / 本科
上海,Python,250-300元/天,华为云计算,本科,,5天/周 / 3个月 / 本科
上海,python,200-250元/天,华为,本科,,Python / Golang / C++ / PyTorch
上海,Python（周末双休+13薪+全额公积金）,9-14K·13薪,中软国际,本科,1-3年,Scrapy / Django / MySQL / Hadoop / Redis / Python / Flask
上海,python,13-19K,法本,大专,1-3年,roocode，codex / claude code / fastapi / MySQL / 架构设计经验 / Python
上海,python实习生,190-210元/天,承医智能,本科,,Python / Django / Flask / PostgreSQL / Linux开发/部署经验 / cursor / codex / git
